siret,y_latitude,x_longitude
30435276800036,43.179094596,3.0273439671
32362180500015,43.187084341,2.7529272789
31653907100027,42.687332647,2.8839843964
31653907100035,42.680014757,2.8806863256
31187753400025,42.624663655,2.4271306936
32426371400010,43.338252746,3.2387774227
32426371400028,43.331684154,3.277079463
32692976700035,43.229992459,3.0512838142
32953233700014,43.354406684,3.2288461495
33908288500015,42.691949472,2.919044723
32683247400018,42.545919921,3.0237927043
32709586500066,43.015561555,3.0494764809
32957254900023,42.60665251,2.9961340093
33072824700025,42.514674789,3.1072945734
33870225100012,43.181898962,3.0158389448
34326262220261,43.117390861,3.1054214687
34326262219677,42.629312305,2.7614034578
34416132800010,43.187084341,2.7529272789
34326262210791,43.229226405,3.0499963992
34326262217051,43.027222148,2.9872471488
34326262220964,42.737359875,2.8912335885
34828459700013,42.740643044,2.8930862219
34326262219172,42.677319189,2.849692365
34326262222945,42.686500625,2.9081473305
34326262213696,43.387011845,3.4209726523
34326262205460,42.697771151,2.8778421526
34326262218877,42.686605168,2.9219394763
34326262220154,43.35497538,3.2512480901
34326262224305,42.533474335,2.8401866389
34326262221574,42.494655864,2.7249696406
34326262217044,42.777688228,2.9062767914
34326262223372,43.336137982,3.1827157199
34326262224115,42.667485787,2.8964656078
34326262207433,43.423806326,3.3141319175
34326262207482,43.161208917,2.9831618935
34326262207771,42.612447787,2.4104691171
34326262209637,42.774862004,3.0154125041
34326262213779,43.325230558,3.0343023742
34326262214983,42.52325203,3.1012531063
34326262219206,43.190106272,2.9858026448
34326262219479,42.604257024,2.9802410055
34326262219826,42.715016369,2.8519498649
34326262221467,42.617402784,3.0039398599
34326262221897,42.851857191,3.0341775448
34326262222275,42.667878945,2.9567503359
34326262223125,43.176517685,2.994694911
34326262224644,42.740461956,2.9274280382
34326262225625,42.685864806,3.031076251
34422652700010,43.326493466,3.0510017252
34513048825329,42.71274813,2.8579585659
34524159000016,42.622146994,2.4358865627
34738208700018,42.547105416,2.940210103
34884986000013,42.809824961,2.4987245314
34991389700022,42.672624672,2.8317200079
35015184100029,42.629384017,3.0270839304
35049153600016,43.377825341,3.177210316
35053228900013,43.187415765,2.9798337859
35053228900047,43.163597416,2.9853670513
35080471200015,42.757783512,2.8635509164
35155113000021,42.533322654,2.8399891712
37920693100014,42.692562882,2.6918593417
35285733800011,42.68594655,2.8123812695
35396447100018,42.49993171,2.7590802303
37791494000012,43.371384545,3.4225982463
37821944800016,42.476295573,3.1204985875
37865951000010,42.608241811,2.9232263494
37980774600043,43.420720034,3.312770851
38199787300017,43.254190649,2.9130774468
39002923900014,43.030927223,2.9645356058
38769782400028,43.365884009,3.2094341352
38787526300015,42.532840841,2.8395882871
38949411300027,43.238755959,3.1123118575
38984827600017,42.54767086,2.3889535359
39442568000011,42.552462305,2.9772146709
39746630100017,42.663796017,2.8448683847
39749515100011,42.554936884,3.0427845545
41040946000426,42.668907089,2.8813540493
41040946001069,43.345911999,3.2431119497
41029885500025,42.640341992,2.9810933597
42196417200017,42.791522952,3.0348725467
41347479200020,42.676413911,2.6333532935
42225966300017,43.270996482,3.282664068
42826802342640,43.344368798,3.2161672256
42826802300705,42.694588641,2.8899751465
42826802300903,43.355699926,3.2402752748
42826802300697,42.701126,3.0251367913
42826802302594,43.161208917,2.9831618935
42826802337822,42.610180074,2.9998543137
42826802340024,43.265809024,2.9500382514
42826802341972,43.309534689,3.1696111136
45132133500395,42.7756875,2.9135602841
45132133501757,42.70268245,2.9449034472
47976375700024,43.348368076,3.2225527997
47892241200018,42.640880708,2.8763110804
47768398100013,42.767509488,2.8724492672
47871077500022,43.322274289,3.2905063445
48023914400037,42.696599069,2.8872516122
48254269300015,43.184386025,2.9998641742
48353978900030,42.765117814,3.0311055269
