code_commune_INSEE,nom_commune_complet,latitude,longitude,Population totale
10099,Chessy-les-Prés,48.0137819738,3.93361482434,541.0
10100,Clérey,48.208429876,4.1939087968,1158.0
10101,Coclois,48.4708420035,4.33090572683,174.0
10102,Colombé-la-Fosse,48.2710119286,4.79010684615,182.0
10103,Colombé-le-Sec,48.2556375156,4.80343883572,155.0
10104,Cormost,48.1565309093,4.13264501348,309.0
10105,Courcelles-sur-Voire,48.4822201574,4.52921510366,27.0
10106,Courceroy,48.4683742502,3.40826279907,146.0
10107,Coursan-en-Othe,48.0778186819,3.82587613771,102.0
10108,Courtaoult,48.0248110791,3.87198564953,81.0
10109,Courtenot,48.1546612208,4.31372014435,228.0
10110,Courteranges,48.2683513867,4.22551791779,586.0
10111,Courteron,48.0158955868,4.46256663692,108.0
10112,Coussegrey,47.95007971,4.03054692613,180.0
10113,Couvignon,48.204390818,4.66976546789,200.0
10114,Crancey,48.5188432879,3.63661201802,721.0
10115,Creney-près-Troyes,48.342847974,4.13898615195,2031.0
10116,Crésantignes,48.1427730557,4.02038435351,321.0
10117,Crespy-le-Neuf,48.3984963901,4.60980302355,148.0
10118,Les Croûtes,47.9934515972,3.86370610292,96.0
10119,Cunfin,48.0441976568,4.66975092005,178.0
10120,Cussangy,48.0230498915,4.09099167975,202.0
10121,Dampierre,48.5651902607,4.36459312482,336.0
10122,Davrey,48.0459988862,3.96029506309,227.0
10123,Dienville,48.3297297619,4.5139323628,872.0
10124,Dierrey-Saint-Julien,48.3050645625,3.83470708192,270.0
10125,Dierrey-Saint-Pierre,48.3325291626,3.83136359134,317.0
10126,Dolancourt,48.2661527498,4.60812858632,133.0
10127,Dommartin-le-Coq,48.4976185098,4.35585501464,57.0
10128,Donnement,48.519771783,4.42815499728,75.0
10129,Dosches,48.3146008777,4.26804909725,315.0
10130,Dosnon,48.6149582778,4.24653182563,104.0
10131,Droupt-Saint-Basle,48.4804439943,3.95701676,360.0
10132,Droupt-Sainte-Marie,48.5020825173,3.93946313114,241.0
10133,Eaux-Puiseaux,48.1167185548,3.88681885834,263.0
10134,Échemines,48.3904941746,3.83580680573,92.0
10135,Éclance,48.3074667085,4.64323131646,99.0
10136,Éguilly-sous-Bois,48.1388297838,4.53815136871,118.0
10137,Engente,48.2800809608,4.76374569172,33.0
10138,Épagne,48.3975318023,4.4698095219,144.0
10139,Épothémont,48.4152756334,4.66162028772,164.0
10140,Ervy-le-Châtel,48.0557945163,3.90532960286,1134.0
10141,Essoyes,48.0494900211,4.53941791707,730.0
10142,Estissac,48.2557294277,3.81076673969,1867.0
10143,Étourvy,47.9506558304,4.12736391483,165.0
10144,Étrelles-sur-Aube,48.5592832077,3.8771042148,161.0
10145,Faux-Villecerf,48.3298226873,3.7399683031,214.0
10146,Fay-lès-Marcilly,48.401359163,3.60590310441,95.0
10147,Fays-la-Chapelle,48.1311314696,4.0199211207,133.0
10148,Ferreux-Quincey,48.4624429856,3.60107070347,415.0
10149,Feuges,48.396564153,4.1086742347,338.0
10150,Fontaine,48.2092891642,4.71805068623,255.0
10151,Fontaine-les-Grès,48.4128351962,3.88910514408,893.0
10153,Fontaine-Mâcon,48.4575603934,3.5070361262,625.0
10154,Fontenay-de-Bossery,48.4502901876,3.4644594068,72.0
10155,Fontette,48.0762843513,4.61637603965,188.0
10156,Fontvannes,48.2823364218,3.87111996216,715.0
10157,La Fosse-Corduan,48.4404732902,3.6537864039,220.0
